percent-small-packet,percent-medium-packet,percent-big-packet,average-payload,stamp
0.617,0.187,0.000187,376.893,1
0.671,0.25,0.00025,247.82,1
0.954,0.037,3.70E-05,119.22,1
0.952,0.036,3.60E-05,117.526,1
0.797,0.157,0.000157,181.312,1
0.539,0.272,0.000272,393.787,1
0.924,0.063,6.30E-05,129.824,1
0.957,0.033,3.30E-05,116.69,1
0.707,0.154,0.000154,296.484,1
0.613,0.28,0.00028,293.598,1
0.945,0.041,4.10E-05,125.07,1
0.956,0.033,3.30E-05,120.221,1
0.586,0.189,0.000189,414.592,1
0.696,0.255,0.000255,218.662,1
0.964,0.029,2.90E-05,111.183,1
0.955,0.034,3.40E-05,119.3,1
0.507,0.274,0.000274,421.553,1
0.829,0.159,0.000159,147.838,1
0.955,0.032,3.20E-05,119.852,1
0.953,0.039,3.90E-05,115.451,1
0.602,0.194,0.000194,385.674,1
0.701,0.253,0.000253,213.363,1
0.962,0.03,3.00E-05,115.676,1
0.951,0.036,3.60E-05,124.817,1
0.506,0.256,0.000256,439.277,1
0.803,0.177,0.000177,168.348,1
0.961,0.031,3.10E-05,113.393,1
0.78,0.161,0.000161,197.467,1
0.585,0.251,0.000251,353.971,1
0.941,0.051,5.10E-05,122.338,1
0.962,0.03,3.00E-05,112.038,1
0.87,0.109,0.000109,142.913,1
0.474,0.259,0.000259,480.435,1
0.87,0.113,0.000113,154.401,1
0.953,0.04,4.00E-05,113.368,1
0.812,0.166,0.000166,152.581,1
0.508,0.249,0.000249,457.84,1
0.942,0.046,4.60E-05,125.655,1
0.962,0.03,3.00E-05,113.452,1
0.923,0.063,6.30E-05,126.198,1
0.46,0.26,0.00026,497.202,1
0.854,0.133,0.000133,145.757,1
0.955,0.032,3.20E-05,121.18,1
0.964,0.028,2.80E-05,113.732,1
0.553,0.234,0.000234,408.515,1
0.736,0.232,0.000232,190.613,1
0.96,0.033,3.30E-05,116.974,1
0.962,0.031,3.10E-05,114.292,1
0.484,0.266,0.000266,459.409,1
0.798,0.177,0.000177,171.4,1
0.96,0.031,3.10E-05,114.154,1
0.862,0.122,0.000122,135.664,1
0.495,0.255,0.000255,464.3,1
0.896,0.093,9.30E-05,137.319,1
0.968,0.025,2.50E-05,112.429,1
0.956,0.033,3.30E-05,119.567,1
0.526,0.267,0.000267,401.963,1
0.812,0.177,0.000177,155.2,1
0.963,0.03,3.00E-05,111.431,1
0.963,0.03,3.00E-05,112.431,1
0.606,0.207,0.000207,370.952,1
0.736,0.223,0.000223,196.033,1
0.948,0.045,4.50E-05,117.728,1
0.954,0.038,3.80E-05,113.36,1
0.729,0.153,0.000153,271.897,1
0.599,0.273,0.000273,316.961,1
0.958,0.032,3.20E-05,116.518,1
0.963,0.03,3.00E-05,112.166,1
0.58,0.195,0.000195,414.269,1
0.688,0.255,0.000255,225.333,1
0.963,0.03,3.00E-05,113.428,1
0.962,0.031,3.10E-05,113.75,1
0.518,0.268,0.000268,412.581,1
0.813,0.172,0.000172,160.803,1
0.952,0.041,4.10E-05,116.443,1
0.881,0.103,0.000103,135.444,1
0.505,0.313,0.000313,381.731,1
0.912,0.079,7.90E-05,130.354,1
0.961,0.029,2.90E-05,114.853,1
0.96,0.032,3.20E-05,114.551,1
0.447,0.198,0.000198,581.126,1
0.391,0.191,0.000191,658.803,1
0.461,0.287,0.000287,465.315,1
0.888,0.1,0.0001,143.056,1
0.949,0.044,4.40E-05,113.025,1
0.808,0.149,0.000149,176.891,1
0.418,0.125,0.000125,702.125,1
0.769,0.212,0.000212,170.963,1
0.964,0.029,2.90E-05,112.923,1
0.939,0.05,5.00E-05,122.061,1
0.448,0.268,0.000268,503.701,1
0.825,0.152,0.000152,164.658,1
0.963,0.03,3.00E-05,109.633,1
0.833,0.14,0.00014,154.458,1
0.504,0.276,0.000276,427.965,1
0.935,0.055,5.50E-05,126.409,1
0.947,0.044,4.40E-05,115.869,1
0.73,0.159,0.000159,264.635,1
0.614,0.274,0.000274,298.692,1
0.948,0.041,4.10E-05,121.254,1
0.962,0.031,3.10E-05,114.088,1
0.589,0.196,0.000196,401.252,1
0.705,0.242,0.000242,217.231,1
0.962,0.029,2.90E-05,114.71,1
0.959,0.034,3.40E-05,111.45,1
0.508,0.235,0.000235,461.948,1
0.772,0.188,0.000188,191.721,1
0.957,0.033,3.30E-05,117.273,1
0.931,0.06,6.00E-05,122.568,1
0.463,0.274,0.000274,475.707,1
0.847,0.135,0.000135,156.645,1
0.958,0.035,3.50E-05,113.135,1
0.816,0.157,0.000157,160.867,1
0.516,0.261,0.000261,434.456,1
0.925,0.063,6.30E-05,133.193,1
0.958,0.034,3.40E-05,113.123,1
0.695,0.165,0.000165,303.213,1
0.642,0.254,0.000254,281.077,1
0.949,0.043,4.30E-05,119.789,1
0.957,0.033,3.30E-05,114.113,1
0.787,0.165,0.000165,184.943,1
0.555,0.269,0.000269,378.174,1
0.935,0.052,5.20E-05,126.634,1
0.963,0.03,3.00E-05,111.228,1
0.661,0.161,0.000161,352.319,1
0.589,0.301,0.000301,311.569,1
0.96,0.029,2.90E-05,116.461,1
0.963,0.029,2.90E-05,113.332,1
0.49,0.272,0.000272,449.363,1
0.803,0.18,0.00018,162.226,1
0.96,0.033,3.30E-05,113.911,1
0.897,0.081,8.10E-05,141.743,1
0.479,0.286,0.000286,445.283,1
0.876,0.107,0.000107,146.622,1
0.967,0.028,2.80E-05,108.361,1
0.959,0.033,3.30E-05,115.727,1
0.538,0.224,0.000224,433.913,1
0.741,0.222,0.000222,194.702,1
0.95,0.042,4.20E-05,115.644,1
0.955,0.032,3.20E-05,120.973,1
0.482,0.298,0.000298,428.8,1
0.818,0.17,0.00017,149.742,1
0.958,0.029,2.90E-05,119.42,1
0.961,0.031,3.10E-05,114.082,1
0.605,0.192,0.000192,385.895,1
0.657,0.271,0.000271,250.623,1
0.951,0.035,3.50E-05,123.263,1
0.958,0.033,3.30E-05,116.159,1
0.555,0.203,0.000203,437.786,1
0.727,0.239,0.000239,196.607,1
0.962,0.03,3.00E-05,113.504,1
0.954,0.039,3.90E-05,115.912,1
0.482,0.25,0.00025,478.501,1
0.783,0.189,0.000189,180.146,1
0.959,0.033,3.30E-05,114.034,1
0.924,0.065,6.50E-05,123.705,1
0.471,0.309,0.000309,428.589,1
0.889,0.1,0.0001,140.261,1
0.954,0.039,3.90E-05,118.961,1
0.953,0.04,4.00E-05,116.868,1
0.517,0.263,0.000263,421.244,1
0.784,0.193,0.000193,175.55,1
0.964,0.029,2.90E-05,112.73,1
0.901,0.086,8.60E-05,130.378,1
0.486,0.3,0.0003,420.156,1
0.876,0.113,0.000113,143.76,1
0.962,0.03,3.00E-05,111.846,1
0.826,0.145,0.000145,159.796,1
0.512,0.272,0.000272,421.626,1
0.921,0.068,6.80E-05,129.708,1
0.964,0.029,2.90E-05,112.419,1
0.962,0.03,3.00E-05,114.15,1
0.472,0.297,0.000297,436.797,1
0.842,0.142,0.000142,156.598,1
0.962,0.03,3.00E-05,111.707,1
0.828,0.147,0.000147,155.852,1
0.5,0.278,0.000278,438.881,1
0.926,0.065,6.50E-05,127.61,1
0.957,0.035,3.50E-05,115.532,1
0.96,0.033,3.30E-05,114.156,1
0.477,0.294,0.000294,437.15,1
0.853,0.138,0.000138,141.262,1
0.963,0.03,3.00E-05,112.806,1
0.963,0.03,3.00E-05,114.155,1
0.572,0.208,0.000208,412.916,1
0.74,0.223,0.000223,187.607,1
0.947,0.04,4.00E-05,124.765,1
0.957,0.035,3.50E-05,112.06,1
0.718,0.17,0.00017,269.273,1
0.593,0.268,0.000268,333.135,1
0.956,0.034,3.40E-05,117.945,1
0.96,0.032,3.20E-05,115.057,1
0.617,0.174,0.000174,389.683,1
0.681,0.253,0.000253,236.19,1
0.949,0.041,4.10E-05,121.397,1
0.95,0.037,3.70E-05,119.809,1
0.779,0.136,0.000136,227.303,1
0.559,0.252,0.000252,388.599,1
0.944,0.048,4.80E-05,122.275,1
0.968,0.024,2.40E-05,112.688,1
0.883,0.102,0.000102,133.567,1
0.513,0.264,0.000264,429.291,1
0.891,0.097,9.70E-05,143.125,1
0.954,0.034,3.40E-05,118.348,1
0.817,0.14,0.00014,176.319,1
0.503,0.251,0.000251,460.37,1
0.925,0.063,6.30E-05,131.274,1
0.956,0.034,3.40E-05,117.515,1
0.951,0.036,3.60E-05,123.632,1
0.528,0.244,0.000244,428.202,1
0.8,0.181,0.000181,161.969,1
0.956,0.033,3.30E-05,118.874,1
0.924,0.066,6.60E-05,121.92,1
0.503,0.272,0.000272,429.167,1
0.878,0.102,0.000102,150.717,1
0.964,0.029,2.90E-05,112.614,1
0.972,0.021,2.10E-05,111.312,1
0.588,0.208,0.000208,389.027,1
0.747,0.22,0.00022,188.635,1
0.954,0.033,3.30E-05,121.422,1
0.956,0.037,3.70E-05,114.109,1
0.699,0.151,0.000151,312.131,1
0.581,0.262,0.000262,354.494,1
0.948,0.045,4.50E-05,117.981,1
0.956,0.032,3.20E-05,121.584,1
0.679,0.156,0.000156,333.442,1
0.636,0.246,0.000246,299.546,1
0.955,0.039,3.90E-05,117.531,1
0.96,0.033,3.30E-05,113.131,1
0.825,0.144,0.000144,160.307,1
0.517,0.259,0.000259,433.737,1
0.922,0.067,6.70E-05,133.838,1
0.963,0.029,2.90E-05,111.957,1
0.748,0.166,0.000166,234.47,1
0.588,0.269,0.000269,335.345,1
0.948,0.044,4.40E-05,117.443,1
0.966,0.027,2.70E-05,112.338,1
0.686,0.167,0.000167,311.155,1
0.63,0.266,0.000266,289.476,1
0.953,0.036,3.60E-05,119.724,1
0.965,0.028,2.80E-05,113.143,1
0.624,0.192,0.000192,366.363,1
0.707,0.23,0.00023,224.041,1
0.943,0.05,5.00E-05,121.618,1
0.967,0.026,2.60E-05,113.289,1
0.881,0.106,0.000106,132.479,1
0.423,0.087,8.70E-05,736.912,1
0.415,0.019,1.90E-05,814.241,1
0.389,0.028,2.80E-05,840.047,1
0.468,0.087,8.70E-05,679.416,1
0.403,0.062,6.20E-05,783.834,1
0.353,0.022,2.20E-05,889.85,1
0.342,0.006,6.00E-06,921.852,1
0.339,0,0,932.353,1
0.344,0.007,7.00E-06,918.834,1
0.851,0.091,9.10E-05,192.563,1
0.981,0.011,1.10E-05,110.693,1
0.965,0.024,2.40E-05,118.232,1
0.657,0.1,0.0001,429.655,1
0.448,0.099,9.90E-05,685.543,1
0.85,0.11,0.00011,172.527,1
0.977,0.016,1.60E-05,110.069,1
0.969,0.019,1.90E-05,117.787,1
0.486,0.12,0.00012,621.555,1
0.986,0.008,8.00E-06,104.766,1
0.999,0,0,99.901,1
0.948,0.02,2.00E-05,143.384,1
0.433,0.087,8.70E-05,720.729,1
0.388,0.041,4.10E-05,825.855,1
0.391,0.001,1.00E-06,862.575,1
0.406,0.01,1.00E-05,835.625,1
0.912,0.04,4.00E-05,165.319,1
0.999,0,0,97.451,1
0.965,0.014,1.40E-05,125.987,1
0.94,0.035,3.50E-05,161.372,1
0.958,0.021,2.10E-05,128.705,1
0.868,0.039,3.90E-05,217.541,1
0.526,0.104,0.000104,583.839,1
0.997,0.002,2.00E-06,97.545,1
0.999,0,0,98.29,1
0.996,0.003,3.00E-06,111.758,1
0.712,0.109,0.000109,340.684,1
0.996,0.003,3.00E-06,100.274,1
0.999,0,0,95.994,1
0.74,0.05,5.00E-05,372.051,1
0.67,0.044,4.40E-05,467.852,1
0.979,0.02,2.00E-05,106.368,1
0.994,0.005,5.00E-06,97.812,1
0.999,0,0,97.127,1
0.997,0.002,2.00E-06,91.193,1
0.897,0.029,2.90E-05,193.308,1
0.414,0.034,3.40E-05,802.05,1
0.937,0.043,4.30E-05,129.842,1
0.999,0,0,96.179,1
0.858,0.031,3.10E-05,245.418,1
0.377,0.036,3.60E-05,847.569,1
0.714,0.035,3.50E-05,420.758,1
0.999,0,0,99.903,1
0.999,0,0,99.096,1
0.546,0.14,0.00014,527.033,1
0.988,0.009,9.00E-06,103.887,1
0.999,0,0,95.867,1
0.801,0.048,4.80E-05,298.299,1
0.725,0.11,0.00011,326.611,1
0.999,0,0,99.031,1
0.999,0,0,97.387,1
0.995,0.004,4.00E-06,109.684,1
0.467,0.079,7.90E-05,690.292,1
0.409,0.073,7.30E-05,762.16,1
0.367,0.02,2.00E-05,876.221,1
0.378,0,0,880.983,1
0.348,0.006,6.00E-06,914.552,1
0.514,0.093,9.30E-05,617.397,1
0.975,0.019,1.90E-05,111.006,1
0.974,0.019,1.90E-05,111.233,1
0.937,0.041,4.10E-05,136.744,1
0.478,0.171,0.000171,576.76,1
0.863,0.1,0.0001,169.328,1
0.979,0.014,1.40E-05,108.251,1
0.925,0.044,4.40E-05,154.285,1
0.642,0.086,8.60E-05,458.624,1
0.693,0.189,0.000189,288.744,1
0.935,0.044,4.40E-05,138.71,1
0.917,0.05,5.00E-05,152.555,1
0.659,0.082,8.20E-05,440.334,1
0.701,0.197,0.000197,263.942,1
0.951,0.041,4.10E-05,119.91,1
0.967,0.021,2.10E-05,115.628,1
0.912,0.042,4.20E-05,184.597,1
0.648,0.088,8.80E-05,451.445,1
0.612,0.197,0.000197,379.035,1
0.959,0.033,3.30E-05,116.694,1
0.977,0.016,1.60E-05,110.546,1
0.952,0.036,3.60E-05,122.971,1
0.453,0.07,7.00E-05,716.76,1
0.413,0.099,9.90E-05,737.647,1
0.385,0.063,6.30E-05,805.541,1
0.694,0.104,0.000104,379.23,1
0.969,0.02,2.00E-05,117.501,1
0.974,0.018,1.80E-05,112.325,1
0.78,0.063,6.30E-05,309.732,1
0.416,0.074,7.40E-05,755.512,1
0.341,0.011,1.10E-05,918.1,1
0.493,0.139,0.000139,587.577,1
0.948,0.039,3.90E-05,128.711,1
0.948,0.037,3.70E-05,127.83,1
0.66,0.082,8.20E-05,445.076,1
0.366,0.05,5.00E-05,845.555,1
0.346,0.008,8.00E-06,914.855,1
0.664,0.183,0.000183,327.855,1
0.98,0.014,1.40E-05,110.572,1
0.969,0.023,2.30E-05,111.383,1
0.802,0.063,6.30E-05,284.239,1
0.515,0.188,0.000188,512.934,1
0.921,0.068,6.80E-05,126.982,1
0.963,0.026,2.60E-05,122.012,1
0.844,0.086,8.60E-05,208.649,1
0.466,0.125,0.000125,641.709,1
0.786,0.096,9.60E-05,266.959,1
0.999,0,0,96.433,1
0.999,0,0,98.795,1
0.719,0.055,5.50E-05,395.371,1
0.682,0.098,9.80E-05,398.559,1
0.998,0.001,1.00E-06,99.662,1
0.991,0.001,1.00E-06,108.078,1
0.676,0.079,7.90E-05,419.27,1
0.463,0.139,0.000139,627.565,1
0.874,0.082,8.20E-05,176.287,1
0.968,0.024,2.40E-05,114.629,1
0.974,0.018,1.80E-05,110.825,1
0.731,0.069,6.90E-05,364.541,1
0.537,0.207,0.000207,465.089,1
0.964,0.029,2.90E-05,114.064,1
0.965,0.023,2.30E-05,118.884,1
0.965,0.024,2.40E-05,117.765,1
0.489,0.114,0.000114,623.591,1
0.863,0.084,8.40E-05,182.209,1
0.999,0,0,98.151,1
0.999,0,0,98.535,1
0.64,0.065,6.50E-05,481.728,1
0.643,0.142,0.000142,399.318,1
0.934,0.037,3.70E-05,150.428,1
0.96,0.026,2.60E-05,126.132,1
0.932,0.044,4.40E-05,139.748,1
0.405,0.089,8.90E-05,758.857,1
0.389,0.055,5.50E-05,808.888,1
0.784,0.13,0.00013,238.435,1
0.961,0.029,2.90E-05,117.06,1
0.97,0.019,1.90E-05,114.282,1
0.71,0.06,6.00E-05,402.748,1
0.502,0.219,0.000219,496.795,1
0.961,0.033,3.30E-05,114.632,1
0.977,0.015,1.50E-05,110.449,1
0.973,0.02,2.00E-05,111.443,1
0.526,0.202,0.000202,482.178,1
0.864,0.085,8.50E-05,179.611,1
0.967,0.025,2.50E-05,119.324,1
0.909,0.055,5.50E-05,161.739,1
0.601,0.102,0.000102,493.858,1
0.714,0.202,0.000202,243.158,1
0.979,0.014,1.40E-05,110.91,1
0.974,0.017,1.70E-05,111.365,1
0.746,0.068,6.80E-05,348.458,1
0.638,0.196,0.000196,348.07,1
0.947,0.04,4.00E-05,125.391,1
0.965,0.022,2.20E-05,117.02,1
0.976,0.016,1.60E-05,110.97,1
0.494,0.121,0.000121,610.548,1
0.577,0.14,0.00014,483.315,1
0.963,0.029,2.90E-05,116.673,1
0.974,0.019,1.90E-05,109.662,1
0.954,0.033,3.30E-05,121.529,1
0.448,0.106,0.000106,680.765,1
0.359,0.032,3.20E-05,872.284,1
0.347,0.013,1.30E-05,910.878,1
0.449,0.104,0.000104,684.641,1
0.943,0.041,4.10E-05,131.872,1
0.973,0.019,1.90E-05,111.131,1
0.829,0.075,7.50E-05,235.771,1
0.494,0.209,0.000209,514.657,1
0.926,0.055,5.50E-05,137.63,1
0.978,0.015,1.50E-05,109.384,1
0.975,0.018,1.80E-05,112.037,1
0.568,0.107,0.000107,533.002,1
0.468,0.162,0.000162,595.639,1
0.94,0.047,4.70E-05,126.473,1
0.975,0.016,1.60E-05,111.973,1
0.907,0.058,5.80E-05,156.414,1
0.455,0.118,0.000118,657.784,1
0.732,0.167,0.000167,265.003,1
0.98,0.014,1.40E-05,109.989,1
0.973,0.018,1.80E-05,109.972,1
0.772,0.066,6.60E-05,318.333,1
0.625,0.199,0.000199,364.273,1
0.932,0.052,5.20E-05,135.483,1
0.965,0.023,2.30E-05,116.548,1
0.821,0.07,7.00E-05,252.805,1
0.545,0.198,0.000198,463.705,1
0.951,0.039,3.90E-05,121.887,1
0.976,0.017,1.70E-05,110.321,1
0.97,0.019,1.90E-05,117.284,1
0.535,0.175,0.000175,499.799,1
0.784,0.134,0.000134,236.76,1
0.978,0.015,1.50E-05,110.297,1
0.964,0.026,2.60E-05,115.835,1
0.819,0.064,6.40E-05,263.092,1
0.541,0.181,0.000181,485.585,1
0.885,0.076,7.60E-05,167.465,1
0.973,0.018,1.80E-05,113.287,1
0.976,0.016,1.60E-05,111.856,1
0.525,0.138,0.000138,551.954,1
0.75,0.181,0.000181,223.157,1
0.979,0.014,1.40E-05,110.542,1
0.978,0.014,1.40E-05,111.272,1
0.605,0.097,9.70E-05,494.885,1
0.36,0.038,3.80E-05,864.096,1
0.477,0.153,0.000153,597.721,1
0.962,0.029,2.90E-05,120.93,1
0.972,0.019,1.90E-05,112.104,1
0.785,0.069,6.90E-05,299.663,1
0.402,0.08,8.00E-05,769.147,1
0.71,0.171,0.000171,283.452,1
0.972,0.019,1.90E-05,114.05,1
0.974,0.018,1.80E-05,110.711,1
0.752,0.071,7.10E-05,337.701,1
0.417,0.081,8.10E-05,748.415,1
0.737,0.158,0.000158,267.965,1
0.979,0.014,1.40E-05,111.118,1
0.971,0.021,2.10E-05,110.48,1
0.818,0.061,6.10E-05,264.809,1
0.548,0.181,0.000181,475.741,1
0.922,0.06,6.00E-05,136.727,1
0.982,0.012,1.20E-05,107.984,1
0.976,0.017,1.70E-05,112.559,1
0.6,0.085,8.50E-05,513.641,1
0.672,0.213,0.000213,289.367,1
0.976,0.017,1.70E-05,112.405,1
0.969,0.022,2.20E-05,110.989,1
0.841,0.071,7.10E-05,224.827,1
0.496,0.189,0.000189,532.668,1
0.918,0.055,5.50E-05,147.901,1
0.972,0.02,2.00E-05,115.309,1
0.974,0.018,1.80E-05,113.744,1
0.566,0.098,9.80E-05,544.702,1
0.727,0.179,0.000179,259.747,1
0.929,0.052,5.20E-05,137.208,1
0.977,0.016,1.60E-05,108.013,1
0.833,0.066,6.60E-05,243.339,1
0.501,0.178,0.000178,539.218,1
0.92,0.066,6.60E-05,132.647,1
0.971,0.015,1.50E-05,119.492,1
0.977,0.016,1.60E-05,109.499,1
0.615,0.098,9.80E-05,479.98,1
0.681,0.196,0.000196,296.869,1
0.979,0.015,1.50E-05,109.597,1
0.973,0.019,1.90E-05,110.588,1
0.849,0.066,6.60E-05,220.815,1
0.429,0.086,8.60E-05,726.451,1
0.557,0.153,0.000153,500.875,1
0.969,0.021,2.10E-05,118.651,1
0.972,0.02,2.00E-05,115.056,1
0.682,0.078,7.80E-05,418.832,1
0.623,0.248,0.000248,312.905,1
0.978,0.016,1.60E-05,109.754,1
0.975,0.017,1.70E-05,110.236,1
0.901,0.066,6.60E-05,154.727,1
0.425,0.085,8.50E-05,735.94,1
0.566,0.176,0.000176,460.979,1
0.974,0.02,2.00E-05,112.388,1
0.976,0.017,1.70E-05,109.074,1
0.923,0.048,4.80E-05,147.565,1
0.501,0.181,0.000181,534.51,1
0.876,0.095,9.50E-05,156.346,1
0.981,0.011,1.10E-05,109.577,1
0.974,0.018,1.80E-05,111.566,1
0.566,0.081,8.10E-05,563.09,1
0.713,0.194,0.000194,253.529,1
0.972,0.018,1.80E-05,115.777,1
0.974,0.018,1.80E-05,110.698,1
0.855,0.068,6.80E-05,210.923,1
0.546,0.188,0.000188,473.108,1
0.945,0.045,4.50E-05,124.392,1
0.976,0.016,1.60E-05,111.406,1
0.915,0.054,5.40E-05,151.394,1
0.424,0.086,8.60E-05,735.343,1
0.607,0.163,0.000163,420.401,1
0.942,0.044,4.40E-05,128.288,1
0.978,0.015,1.50E-05,109.402,1
0.939,0.043,4.30E-05,131.712,1
0.467,0.106,0.000106,658.075,1
0.404,0.109,0.000109,735.014,1
0.885,0.09,9.00E-05,154.915,1
0.974,0.019,1.90E-05,109.908,1
0.908,0.055,5.50E-05,159.689,1
0.493,0.17,0.00017,556.827,1
0.854,0.091,9.10E-05,190.485,1
0.965,0.026,2.60E-05,115.625,1
0.975,0.018,1.80E-05,110.951,1
0.679,0.078,7.80E-05,422.289,1
0.617,0.232,0.000232,337.034,1
0.962,0.03,3.00E-05,115.803,1
0.976,0.017,1.70E-05,109.742,1
0.942,0.042,4.20E-05,128.303,1
0.488,0.169,0.000169,566.041,1
0.83,0.105,0.000105,206.192,1
0.983,0.011,1.10E-05,107.659,1
0.977,0.016,1.60E-05,110.703,1
0.58,0.124,0.000124,503.453,1
0.767,0.179,0.000179,204.584,1
0.975,0.018,1.80E-05,111.675,1
0.975,0.018,1.80E-05,110.536,1
0.72,0.081,8.10E-05,369.887,1
0.569,0.224,0.000224,406.997,1
0.951,0.035,3.50E-05,127.045,1
0.973,0.018,1.80E-05,112.313,1
0.795,0.067,6.70E-05,288.581,1
0.543,0.222,0.000222,438.273,1
0.96,0.031,3.10E-05,115.564,1
0.977,0.016,1.60E-05,110.716,1
0.969,0.023,2.30E-05,112.87,1
0.473,0.117,0.000117,640.119,1
0.656,0.148,0.000148,375.764,1
0.954,0.034,3.40E-05,125.927,1
0.977,0.015,1.50E-05,110.196,1
0.784,0.059,5.90E-05,310.461,1
0.521,0.233,0.000233,455.05,1
0.907,0.058,5.80E-05,157.81,1
0.968,0.024,2.40E-05,112.036,1
0.973,0.02,2.00E-05,109.665,1
0.626,0.093,9.30E-05,472.092,1
0.645,0.186,0.000186,350.196,1
0.93,0.048,4.80E-05,137.917,1
0.975,0.018,1.80E-05,110.344,1
0.907,0.06,6.00E-05,152.658,1
0.41,0.073,7.30E-05,765.392,1
0.735,0.183,0.000183,243.249,1
0.983,0.009,9.00E-06,110.706,1
0.976,0.016,1.60E-05,113.593,1
0.623,0.131,0.000131,434.053,1
0.758,0.18,0.00018,215.088,1
0.976,0.016,1.60E-05,112.208,1
0.975,0.017,1.70E-05,111.73,1
0.653,0.09,9.00E-05,444.47,1
0.717,0.214,0.000214,234.833,1
0.975,0.018,1.80E-05,111.417,1
0.968,0.02,2.00E-05,120.081,1
0.597,0.115,0.000115,489.64,1
0.738,0.172,0.000172,249.322,1
0.949,0.037,3.70E-05,125.364,1
0.974,0.019,1.90E-05,108.701,1
0.745,0.073,7.30E-05,342.172,1
0.639,0.192,0.000192,352.746,1
0.964,0.03,3.00E-05,114.73,1
0.978,0.015,1.50E-05,110.052,1
0.958,0.033,3.30E-05,118.976,1
0.509,0.182,0.000182,524.56,1
0.833,0.105,0.000105,201.607,1
0.963,0.025,2.50E-05,118.89,1
0.976,0.016,1.60E-05,109.863,1
0.735,0.075,7.50E-05,354.851,1
0.587,0.223,0.000223,389.692,1
0.977,0.017,1.70E-05,110.308,1
0.976,0.016,1.60E-05,111.401,1
0.895,0.057,5.70E-05,172.17,1
0.482,0.194,0.000194,548.526,1
0.92,0.061,6.10E-05,137.199,1
0.972,0.018,1.80E-05,114.1,1
0.904,0.057,5.70E-05,160.566,1
0.444,0.159,0.000159,628.94,1
0.825,0.14,0.00014,173.756,1
0.978,0.014,1.40E-05,111.997,1
0.973,0.02,2.00E-05,111.17,1
0.727,0.079,7.90E-05,361.712,1
0.592,0.2,0.0002,404.956,1
0.965,0.029,2.90E-05,114.011,1
0.974,0.019,1.90E-05,111.019,1
0.958,0.03,3.00E-05,119.656,1
0.466,0.14,0.00014,624.783,1
0.791,0.157,0.000157,197.795,1
0.983,0.014,1.40E-05,104.12,1
0.975,0.018,1.80E-05,108.131,1
0.706,0.078,7.80E-05,390.815,1
0.607,0.199,0.000199,380.352,1
0.918,0.063,6.30E-05,138.777,1
0.967,0.023,2.30E-05,116.054,1
0.976,0.016,1.60E-05,110.574,1
0.531,0.126,0.000126,558.761,1
0.774,0.143,0.000143,237.27,1
0.978,0.015,1.50E-05,109.279,1
0.976,0.017,1.70E-05,111.569,1
0.661,0.091,9.10E-05,429.479,1
0.715,0.172,0.000172,277.657,1
0.963,0.026,2.60E-05,118.97,1
0.969,0.02,2.00E-05,116.246,1
0.87,0.067,6.70E-05,193.142,1
0.507,0.191,0.000191,519.098,1
0.918,0.059,5.90E-05,144.92,1
0.977,0.016,1.60E-05,112.938,1
0.944,0.033,3.30E-05,132.041,1
0.485,0.169,0.000169,568.406,1
0.841,0.11,0.00011,182.089,1
0.966,0.023,2.30E-05,116.889,1
0.973,0.015,1.50E-05,116.174,1
0.616,0.102,0.000102,479.079,1
0.609,0.166,0.000166,418.984,1
0.965,0.027,2.70E-05,118.709,1
0.966,0.022,2.20E-05,118.863,1
0.758,0.074,7.40E-05,325.11,1
0.619,0.208,0.000208,358.719,1
0.951,0.038,3.80E-05,124.51,1
0.97,0.019,1.90E-05,113.848,1
0.798,0.074,7.40E-05,274.232,1
0.566,0.202,0.000202,434.085,1
0.94,0.041,4.10E-05,132.687,1
0.968,0.022,2.20E-05,111.701,1
0.828,0.063,6.30E-05,248.416,1
0.545,0.198,0.000198,462.393,1
0.925,0.061,6.10E-05,128.863,1
0.972,0.017,1.70E-05,116.612,1
0.965,0.025,2.50E-05,115.927,1
0.527,0.147,0.000147,540.786,1
0.782,0.159,0.000159,203.425,1
0.973,0.019,1.90E-05,114.8,1
0.976,0.016,1.60E-05,108.587,1
0.772,0.069,6.90E-05,314.879,1
0.528,0.203,0.000203,481.038,1
0.945,0.04,4.00E-05,131.411,1
0.962,0.025,2.50E-05,121.084,1
0.857,0.065,6.50E-05,212.861,1
0.574,0.186,0.000186,439.316,1
0.918,0.064,6.40E-05,139.042,1
0.966,0.023,2.30E-05,116.903,1
0.918,0.059,5.90E-05,140.537,1
0.586,0.209,0.000209,398.34,1
0.951,0.042,4.20E-05,116.716,1
0.977,0.016,1.60E-05,110.507,1
0.978,0.016,1.60E-05,109.243,1
0.536,0.188,0.000188,481.051,1
0.824,0.124,0.000124,193.985,1
0.974,0.019,1.90E-05,111.703,1
0.977,0.015,1.50E-05,112.276,1
0.573,0.124,0.000124,509.031,1
0.724,0.176,0.000176,258.162,1
0.933,0.044,4.40E-05,138.447,1
0.972,0.021,2.10E-05,108.809,1
0.866,0.07,7.00E-05,194.84,1
0.512,0.192,0.000192,510.017,1
0.907,0.076,7.60E-05,140.967,1
0.98,0.013,1.30E-05,108.575,1
0.974,0.018,1.80E-05,112.488,1
0.569,0.102,0.000102,534.915,1
0.701,0.207,0.000207,263.118,1
0.97,0.021,2.10E-05,114.711,1
